,VMTH,DOB,# days signs b4 dx,date of dx,Visit,Age ,Weight,Constipation,Anemia,Fleas,Rads,Other,Died,T4,Frequency,Dosage T4,T3,Dosage T3,Control,Date of sample,Sex,Lab,TT4 (RIA) (nmol),TT4 (RIA) ,TT4 (CLIA) nmol/L,TT4 CLIA ug/dL,TT4 ELISA,Tt4 Truforma ,T3 (RIA),FT4(RIA) pmol/L,FT4 RIA (ng/dL),FT4 (CLIA),FT4 Idexx,FT4d,cTSH (CLIA),TSH Idexx,Truforma TSH,IGF-1,Comments
Critter,110104,"September 4,2025",,,,77,1.673,2,,,,,,75,2,44.82964734,0,0,3,"November 20, 2025",MC,MSU,,,80,6.22,,,0.3,117,9.09,,,,0.42,,,,
Critter,110104,"September 4,2025",,,,96,2.16,2,,,,,,75,2,34.72222222,0,0,1,"December 9, 2025",MC,MSU,,,74,5.75,,,0.6,57,4.43,,,,0.26,,,,
,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
Totoro,110136,"July 1, 2025",,11/6/2025,1,128,1.2,2,2,2,3,14,,,,,,,,"November 6, 2025",M,UCD,,,,,,,,,,,,,5.15,,,,Felv positive
Totoro,110136,7/1/2025,,11/6/2025,,128,,2,,,,,,,,,,,,"November 6, 2025",M,MSU,,,0,0.00,,,<0.3,4,0.31,,,,3.43,,,,Felv positive
Totoro,110136,7/1/2025,,,,154,1.8,2,,,,,,75,2,41.66666667,0,0,1,"December 2, 2025",M,UCD,,,,3.40,,,,,,1.25,,,0.25,,,,Felv positive
Totoro,110136,7/1/2025,,,,203,2.97,2,,,,,,100,2,33.67003367,0,0,1,"January 20, 2026",MC,UCD,,,42,3.40,,,0.6,38,2.95,,,,0.1,,,,Felv positive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anya,747070,"November 7, 2022",,12/19/2022,1,42,0.37,3,3,3,3,,1,,,,,,,"December 19, 2022",,Idexx,,,,,0.70,,,,,,,,,>12,,,Necropsy in comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,711295,"April 21, 2020",,,1,21,0.16,2,1,,,,,,,0,0,0,,"May 12, 2020",F,UCD,,,,<0.5,,,,,,<0.3,,,4.74,,,,
January ,711295,4/21/2020,,,,51,0.323,,,,,,,5,2,15.47987616,0,0,2,"June 11, 2020",F,UCD,,,,0.80,,,,,,,,,,,,,
January ,711295,4/21/2020,,,,63,0.36,,,,,,1,7.5,2,20.83333333,0,0,2,"June 23, 2020",F,UCD,,,,<0.5,,,,,,<0.3,,,0.46,,,4,Necropsy in comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonpie,,,15,1/13/2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muffintop,,,15,"January 13, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevy,114142,"May 1, 2025",89,10/20/2025,1,173,1.03,1,2,2,3,,,,,,,,,"October 21, 2025",F,Antech,,,,,<0.4,,,,,,,,,,,,
Chevy,114142,5/1/2025,,,,207,1.34,,,,,,,50,1,37.31343284,0,0,,"November24, 2025",F,Antech,,,,,1.80,,,,,,,,,,,,
Chevy,114142,5/1/2025,,,,278,2.065,,,,,,,50,1,24.21307506,0,0,2,"February 3, 2026",F,MSU,,,15,1.17,,,0.5,18,1.40,,,,11.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# first visits,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
